Chinua Achebe
Hans Christian Andersen
Dante Alighieri
Unknown
Unknown
Unknown
Unknown
Jane Austen
Honor de Balzac
Samuel Beckett
Giovanni Boccaccio
Jorge Luis Borges
Emily Bronteb
Albert Camus
Paul Celan
Louis-Ferdinand Cline
Miguel de Cervantes
Geoffrey Chaucer
Anton Chekhov
Joseph Conrad
Charles Dickens
Denis Diderot
Alfred Dublin
Fyodor Dostoevsky
Fyodor Dostoevsky
Fyodor Dostoevsky
Fyodor Dostoevsky
George Eliot
Ralph Ellison
Euripides
William Faulkner
William Faulkner
Gustave Flaubert
Gustave Flaubert
Federico Garceda Lorca
Gabriel Garceda Maerquez
Gabriel Garcda Marquez
Johann Wolfgang von Goethe
Nikolai Gogol
Gcnter Grass
Jo Guimares Rosa
Knut Hamsun
Ernest Hemingway
Homer
Homer
Henrik Ibsen
James Joyce
Franz Kafka
Franz Kafka
Franz Kafka
Khalid Isa
Yasunari Kawabata
Nikos Kazantzakis
D. H. Lawrence
Halldr Laxness
Giacomo Leopardi
Doris Lessing
Astrid Lindgren
Lu Xun
Naguib Mahfouz
Thomas Mann
Thomas Mann
Herman Melville
Michel de Montaigne
Elsa Morante
Toni Morrison
Murasaki Shikibu
Robert Musil
Vladimir Nabokov
George Orwell
Ovid
Fernando Pessoa
Edgar Allan Poe
Marcel Proust
Franois Rabelais
Juan Rulfo
Rumi
Salman Rushdie
Saadi
Tayeb Salih
Jos Saramago
William Shakespeare
William Shakespeare
William Shakespeare
Sophocles
Stendhal
Laurence Sterne
Italo Svevo
Jonathan Swift
Leo Tolstoy
Leo Tolstoy
Leo Tolstoy
Mark Twain
Valmiki
Virgil
Vyasa
Walt Whitman
Virginia Woolf
Virginia Woolf
Marguerite Yourcenar
